channel_id	repeat_channel_id	channel_type	signal	cavity	connector_id	device_connector_mpn	harness_connector_mpn
in1		(1, 'https://github.com/harnice/harnice')	pos	2	in1	XLR3F	
in1		(1, 'https://github.com/harnice/harnice')	neg	3	in1	XLR3F	
in1-shield		(5, 'https://github.com/harnice/harnice')	chassis	1	in1	XLR3F	
in2		(1, 'https://github.com/harnice/harnice')	pos	2	in2	XLR3F	
in2		(1, 'https://github.com/harnice/harnice')	neg	3	in2	XLR3F	
in2-shield		(5, 'https://github.com/harnice/harnice')	chassis	1	in2	XLR3F	
out1		(4, 'https://github.com/harnice/harnice')	pos	2	out1	XLR3M	
out1		(4, 'https://github.com/harnice/harnice')	neg	3	out1	XLR3M	
out1-shield		(5, 'https://github.com/harnice/harnice')	chassis	1	out1	XLR3M	
out2		(4, 'https://github.com/harnice/harnice')	pos	2	out2	XLR3M	
out2		(4, 'https://github.com/harnice/harnice')	neg	3	out2	XLR3M	
out2-shield		(5, 'https://github.com/harnice/harnice')	chassis	1	out2	XLR3M	
