library_pn,official_pin,family,series,poles,gender,finish,bushing,termination,contacts,cable_od_min_mm,cable_od_max_mm,housing_material,datasheet,product_desc
NC3FXX,NC3FXX,XLR,XX,3,female,nickel,black,solder cup,1 2 3,3.5,8.0,zinc diecast (ZnAl4Cu1),https://www.neutrik.com/media/19523/download/Assembly%20Instruction%20-%20XLR%20XX%20Series.pdf,
NC3FXX-B,NC3FXX-B,XLR,XX,3,female,B,black,solder cup,1 2 3,3.5,8.0,zinc diecast (ZnAl4Cu1),https://www.neutrik.com/media/19523/download/Assembly%20Instruction%20-%20XLR%20XX%20Series.pdf,
NC3FXX-BAG,NC3FXX-BAG,XLR,XX,3,female,BAG,black,solder cup,1 2 3,3.5,8.0,zinc diecast (ZnAl4Cu1),https://www.neutrik.com/media/19523/download/Assembly%20Instruction%20-%20XLR%20XX%20Series.pdf,
NC3FXX-WT,NC3FXX-WT,XLR,XX,3,female,WT,black,solder cup,1 2 3,3.5,8.0,zinc diecast (ZnAl4Cu1),https://www.neutrik.com/media/19523/download/Assembly%20Instruction%20-%20XLR%20XX%20Series.pdf,
NC3MXX,NC3MXX,XLR,XX,3,male,nickel,black,solder cup,1 2 3,3.5,8.0,zinc diecast (ZnAl4Cu1),https://www.neutrik.com/media/19523/download/Assembly%20Instruction%20-%20XLR%20XX%20Series.pdf,
NC3MXX-B,NC3MXX-B,XLR,XX,3,male,B,black,solder cup,1 2 3,3.5,8.0,zinc diecast (ZnAl4Cu1),https://www.neutrik.com/media/19523/download/Assembly%20Instruction%20-%20XLR%20XX%20Series.pdf,
NC3MXX-BAG,NC3MXX-BAG,XLR,XX,3,male,BAG,black,solder cup,1 2 3,3.5,8.0,zinc diecast (ZnAl4Cu1),https://www.neutrik.com/media/19523/download/Assembly%20Instruction%20-%20XLR%20XX%20Series.pdf,
NC3MXX-WT,NC3MXX-WT,XLR,XX,3,male,WT,black,solder cup,1 2 3,3.5,8.0,zinc diecast (ZnAl4Cu1),https://www.neutrik.com/media/19523/download/Assembly%20Instruction%20-%20XLR%20XX%20Series.pdf,
NC4FXX,NC4FXX,XLR,XX,4,female,nickel,black,solder cup,1 2 3 4,3.5,8.0,zinc diecast (ZnAl4Cu1),https://www.neutrik.com/media/19523/download/Assembly%20Instruction%20-%20XLR%20XX%20Series.pdf,
NC4FXX-B,NC4FXX-B,XLR,XX,4,female,B,black,solder cup,1 2 3 4,3.5,8.0,zinc diecast (ZnAl4Cu1),https://www.neutrik.com/media/19523/download/Assembly%20Instruction%20-%20XLR%20XX%20Series.pdf,
